Rainfall,Temperature,Humidity,Fertilizer,Pesticide,Crop,Yield
195,21,56,53,18,Rice,5.31
93,40,54,58,39,Rice,2.84
197,21,74,71,28,Rice,6.37
120,28,89,104,39,Rice,5.82
177,31,76,118,8,Maize,6.81
193,21,84,129,32,Rice,8.46
52,39,47,63,19,Maize,1.88
94,19,47,110,20,Maize,4.75
195,35,44,132,38,Maize,7.35
200,22,69,45,8,Rice,6.19
81,27,57,54,36,Rice,2.75
55,33,95,102,7,Wheat,4.18
194,21,43,120,23,Rice,7.63
247,20,61,104,24,Wheat,8.52
60,30,81,42,13,Maize,2.71
67,34,80,112,27,Wheat,4.79
224,22,86,126,34,Rice,8.42
161,32,64,113,18,Wheat,6.01
107,40,80,64,18,Maize,3.98
59,20,50,50,25,Rice,3.08
184,40,56,103,6,Rice,6.15
103,28,55,57,39,Rice,3.59
193,23,83,146,16,Rice,8.89
179,32,47,46,16,Rice,4.79
66,34,95,75,25,Rice,3.45
85,39,68,86,16,Rice,3.5
193,31,49,110,33,Maize,6.55
224,31,91,58,17,Wheat,6.34
214,40,91,68,24,Rice,6.07
213,19,61,135,20,Wheat,8.13
149,30,58,126,38,Rice,6.09
167,21,61,91,40,Rice,5.78
196,23,45,150,19,Rice,7.85
81,21,89,121,9,Maize,6.34
214,39,43,132,38,Rice,7.65
155,24,43,58,34,Maize,4.56
234,38,70,122,35,Rice,8.14
236,37,49,41,6,Rice,5.39
65,31,78,70,28,Rice,3.07
134,21,46,65,16,Maize,4.52
141,18,86,131,11,Wheat,7.74
53,29,58,65,15,Wheat,3.03
244,29,42,145,31,Rice,9.04
98,33,41,99,34,Wheat,3.73
145,27,81,79,37,Rice,5.6
167,27,86,76,20,Rice,6.17
156,26,55,73,36,Wheat,5.1
61,25,48,115,30,Rice,4.45
225,37,78,99,6,Rice,7.66
213,39,66,41,35,Rice,5.37
78,32,51,140,32,Rice,4.7
198,27,85,117,22,Wheat,8.17
107,29,61,109,40,Rice,4.86
176,33,75,95,29,Rice,6.6
197,35,77,106,27,Rice,6.76
236,22,43,60,18,Maize,5.84
247,29,55,120,27,Wheat,7.84
95,32,83,56,38,Rice,3.18
165,40,79,117,19,Maize,6.1
80,20,56,131,23,Wheat,5.13
81,25,52,123,39,Rice,4.97
119,39,41,84,9,Maize,3.81
178,37,83,126,36,Maize,7.49
103,28,68,93,30,Maize,5.18
244,18,92,150,5,Rice,10.44
133,23,47,68,37,Maize,4.59
246,29,51,123,24,Rice,8.53
68,23,66,84,17,Rice,3.64
135,37,86,92,26,Maize,5.14
249,27,65,65,27,Maize,6.66
186,37,95,122,16,Maize,7.68
60,27,66,50,38,Maize,2.33
183,31,91,141,32,Rice,8.63
121,37,93,86,11,Maize,5.68
117,29,65,141,16,Maize,6.99
214,31,92,127,20,Rice,8.97
174,39,93,96,8,Maize,7.01
56,31,50,131,27,Rice,4.16
77,28,86,96,30,Rice,4.28
146,21,53,117,39,Wheat,6.26
244,33,85,69,33,Rice,6.62
228,23,81,86,27,Rice,8.01
71,34,57,80,14,Wheat,3.22
174,35,77,130,37,Rice,6.81
237,19,43,56,8,Maize,6.64
53,18,46,133,13,Rice,5.2
201,36,75,89,31,Wheat,6.09
205,33,74,86,35,Rice,6.07
97,31,65,87,8,Wheat,4.11
115,29,51,133,40,Wheat,5.56
248,18,65,126,30,Rice,8.91
93,25,63,125,23,Rice,5.56
150,27,72,113,16,Wheat,6.71
216,26,93,60,16,Maize,6.51
239,38,54,41,22,Maize,5.04
215,22,72,147,35,Wheat,8.86
172,35,43,137,33,Wheat,6.4
176,23,81,64,25,Maize,5.64
144,31,78,67,36,Maize,4.98
58,30,61,71,9,Maize,3.51
102,27,78,54,11,Rice,3.54
180,36,49,131,33,Maize,6.84
189,32,77,116,33,Maize,7.57
57,40,59,86,8,Maize,2.78
94,25,62,55,17,Maize,3.98
109,31,52,110,19,Maize,4.63
218,39,63,140,5,Wheat,8.66
159,25,95,128,16,Rice,7.39
203,31,87,117,40,Rice,7.23
183,32,44,82,29,Wheat,5.86
92,31,67,57,32,Maize,3.16
209,32,48,143,36,Rice,7.31
116,25,45,119,28,Maize,5.4
62,22,64,59,22,Maize,2.9
94,35,86,102,16,Maize,5.04
160,40,50,58,39,Maize,3.69
63,39,84,83,28,Rice,3.72
220,40,61,62,23,Wheat,5.96
141,18,58,67,30,Maize,4.61
217,33,77,116,27,Wheat,7.33
77,33,74,99,12,Maize,5.0
134,25,60,64,5,Wheat,4.61
113,40,82,146,27,Wheat,6.85
195,40,54,136,25,Rice,6.91
140,30,83,121,28,Maize,6.94
228,27,46,89,24,Maize,6.59
186,38,84,96,35,Rice,6.65
161,30,52,88,27,Rice,5.84
141,34,67,80,6,Rice,4.96
90,23,50,77,10,Rice,3.91
115,25,42,138,37,Maize,6.04
165,30,74,101,5,Rice,6.08
175,28,73,128,20,Wheat,7.61
200,36,64,55,13,Rice,5.19
211,33,83,143,22,Wheat,8.57
94,23,60,109,36,Rice,4.65
88,27,49,69,22,Rice,3.82
64,21,79,48,13,Wheat,3.76
65,32,74,91,9,Maize,4.3
128,35,86,41,33,Rice,3.3
158,27,70,144,12,Maize,7.23
159,26,69,50,39,Rice,4.27
190,21,95,52,16,Rice,6.0
122,37,46,41,27,Maize,3.32
134,40,68,117,30,Maize,6.04
138,35,59,147,21,Rice,6.91
62,24,67,145,10,Maize,5.68
131,28,93,123,9,Maize,6.86
237,36,86,101,20,Rice,7.72
232,20,94,53,23,Wheat,7.22
79,36,88,128,20,Maize,5.31
228,25,57,131,20,Maize,8.81
240,30,52,46,31,Wheat,5.97
202,23,63,57,27,Wheat,6.0
202,40,56,85,28,Maize,5.84
164,19,67,42,15,Wheat,4.48
228,33,60,93,34,Maize,7.2
69,33,71,125,11,Rice,5.61
206,25,95,107,39,Maize,7.98
153,24,66,40,31,Wheat,3.9
136,26,50,81,37,Wheat,4.64
214,26,56,138,9,Maize,8.62
239,20,91,53,35,Maize,7.42
73,37,62,121,18,Wheat,4.22
119,32,89,75,12,Maize,4.76
96,30,80,137,28,Rice,5.79
165,34,52,40,38,Wheat,3.56
127,19,57,110,33,Maize,5.9
202,23,53,47,31,Wheat,5.25
150,31,64,95,34,Rice,5.52
238,38,61,74,20,Wheat,6.63
162,28,56,119,6,Rice,6.91
143,23,56,142,29,Rice,6.79
241,33,90,144,13,Rice,9.85
115,26,82,139,26,Wheat,7.05
232,23,85,136,22,Maize,9.71
146,18,63,43,8,Rice,4.52
220,18,67,145,40,Wheat,8.58
83,40,89,145,28,Rice,5.8
67,39,52,140,21,Maize,5.08
231,36,69,137,8,Maize,8.9
195,27,46,79,10,Wheat,6.29
117,31,88,91,33,Rice,5.29
58,32,51,81,10,Maize,2.73
114,39,88,63,11,Maize,4.19
234,40,74,101,34,Rice,7.63
175,36,80,81,38,Rice,6.16
161,35,94,56,18,Maize,4.86
159,39,42,95,23,Rice,4.65
84,35,40,91,25,Rice,3.18
114,36,40,130,25,Rice,4.93
172,39,79,65,20,Rice,5.55
241,28,56,98,27,Maize,7.19
120,29,54,73,8,Wheat,4.47
120,36,41,49,21,Rice,3.37
199,26,59,40,10,Maize,5.1
94,18,62,62,30,Rice,4.42
93,18,54,75,31,Rice,4.37
179,40,72,119,27,Wheat,6.6
127,20,54,106,27,Rice,5.38
218,26,62,110,7,Wheat,7.92
131,28,46,144,5,Rice,6.5
55,24,49,110,30,Wheat,4.31
198,34,72,113,16,Rice,7.3
111,34,85,98,6,Maize,5.05
248,30,54,128,27,Wheat,7.98
123,22,87,82,28,Wheat,5.3
194,22,41,135,28,Rice,7.43
66,38,89,133,15,Rice,5.47
232,27,84,56,22,Wheat,6.37
150,30,57,56,13,Wheat,4.75
181,35,59,86,13,Rice,5.61
64,22,94,58,30,Wheat,3.64
203,31,67,88,22,Rice,6.27
91,36,56,147,37,Rice,5.35
180,28,88,94,30,Maize,7.25
149,38,93,46,40,Rice,4.54
178,34,64,49,20,Wheat,4.83
141,23,55,59,20,Maize,4.82
92,31,46,72,30,Rice,3.36
112,20,91,107,30,Maize,6.28
157,34,51,129,37,Rice,6.42
175,19,83,65,25,Wheat,5.62
136,32,52,62,21,Wheat,3.77
179,37,59,98,7,Maize,6.38
115,21,53,55,23,Wheat,4.38
183,30,75,61,22,Maize,5.68
166,36,79,110,36,Maize,6.24
204,38,82,140,11,Maize,8.47
192,20,44,62,13,Maize,5.29
247,34,65,60,12,Rice,6.9
215,25,81,127,39,Maize,8.79
63,27,51,77,38,Rice,3.45
194,34,42,101,35,Maize,6.02
152,21,81,52,38,Wheat,5.21
170,21,57,108,23,Wheat,6.33
123,19,45,47,15,Maize,3.38
189,26,41,47,15,Rice,5.05
161,25,75,132,16,Rice,7.68
231,35,60,125,25,Wheat,7.49
69,40,46,48,5,Wheat,2.33
